종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
017960,한국카본,KOSPI,,10600,-20,-0.19,10630,10810,10580,149671,1595303410,550229591200,51908452
192400,쿠쿠홀딩스,KOSPI,,15450,-40,-0.26,15500,15590,15420,20314,314281650,549435758250,35562185
030610,교보증권,KOSPI,,4810,-5,-0.10,4790,4840,4790,5888,28297060,548161842410,113962961
078340,컴투스,KOSDAQ,우량기업부,42850,-250,-0.58,43100,43600,42450,34312,1473459950,545812801750,12737755
030190,NICE평가정보,KOSPI,,9080,-100,-1.09,9190,9330,9050,79451,724166670,545777643600,60107670
000070,삼양홀딩스,KOSPI,,63700,-100,-0.16,63800,64500,63700,5178,331228200,545544062700,8564271
069080,웹젠,KOSDAQ GLOBAL,우량기업부,15540,220,1.44,15330,15750,15330,38866,604191520,543136737360,34950884
215600,신라젠,KOSDAQ,중견기업부,5270,-60,-1.13,5340,5390,5220,601218,3174485850,542109748750,102867125
093320,케이아이엔엑스,KOSDAQ,우량기업부,110600,3600,3.36,108200,115000,106100,64067,7174009500,539728000000,4880000
335890,비올,KOSDAQ,벤처기업부,9240,300,3.36,8860,9320,8860,897799,8239942340,538998324480,58333152
